vedba_mean,scay_mean,label
0.0103,-0.1661,Lying
0.0210,-0.1026,Lying
0.0211,-0.0968,Lying
0.0175,-0.0845,Lying
0.0100,-0.1060,Lying
0.0084,-0.0576,Lying
0.0146,-0.1038,Lying
0.0202,-0.1081,Lying
0.0206,-0.0884,Lying
0.0210,-0.1053,Lying
0.0209,0.0587,Standing
0.0192,0.0794,Standing
0.0147,-0.2392,Standing
0.0185,-0.0223,Standing
0.0192,0.0137,Standing
0.0214,0.0351,Standing
0.0933,0.2284,Feeding
0.0823,0.2506,Feeding
0.0735,0.2620,Feeding
0.0623,0.2002,Feeding
0.0624,0.2447,Feeding
0.0644,0.2319,Feeding
0.0741,0.1663,Feeding
0.0650,0.1966,Feeding
0.0685,0.2438,Feeding
0.0725,0.2387,Feeding
0.0602,0.2244,Feeding
0.0638,0.1968,Feeding
0.0195,-0.1360,Lying
0.0187,-0.1796,Lying
0.0208,-0.0451,Lying
0.0211,-0.0731,Lying
0.0192,-0.0631,Lying
0.0194,-0.0866,Lying
0.0192,-0.0841,Lying
0.0712,0.1752,Feeding
0.0696,0.1847,Feeding
0.0762,0.2189,Feeding
0.0713,0.1870,Feeding
0.0689,0.1866,Feeding
0.0634,0.2145,Feeding
0.0615,0.2353,Feeding
0.0539,0.1507,Feeding
0.0579,0.1764,Feeding
0.0525,0.1893,Feeding
0.0103,-0.1658,Lying
0.0210,-0.1026,Lying
0.0211,-0.0969,Lying
0.0180,-0.1052,Lying
0.0189,-0.0865,Lying
0.0205,-0.0951,Lying
0.0205,-0.0916,Lying
0.0211,-0.1254,Lying
0.0624,0.2067,Lying
0.0611,0.1914,Lying
0.0636,0.2212,Lying
0.0106,0.1147,Standing
0.0928,0.2266,Feeding
0.0831,0.2248,Feeding
0.0743,0.2782,Feeding
0.0609,0.2314,Feeding
0.0695,0.2230,Feeding
0.0691,0.2407,Feeding
0.0152,0.0022,Lying
0.0111,-0.0628,Lying
0.0214,0.2283,Lying
0.0261,0.0247,Lying
0.0240,0.0004,Lying
0.0248,0.0471,Standing
0.0588,0.3548,Feeding
0.0290,0.1216,Drinking
0.0170,-0.0648,Lying
0.0206,-0.0762,Lying
0.0222,-0.1329,Lying
0.0168,-0.2378,Lying
0.0128,-0.2310,Lying
0.0206,-0.0655,Lying
0.0218,0.0213,Lying
0.0253,0.1328,Standing
0.0334,0.1224,Standing
0.0751,0.2814,Feeding
0.0707,0.2670,Feeding
0.0729,0.2610,Feeding
0.0717,0.2447,Feeding
0.0617,0.3420,Feeding
0.0585,0.3095,Feeding
0.0637,0.3412,Feeding
0.0686,0.2768,Feeding
0.0692,0.2554,Feeding
0.0658,0.3351,Feeding
0.0618,0.3352,Feeding
0.0639,0.2906,Feeding
0.0656,0.2581,Feeding
0.0646,0.3097,Feeding
0.0191,-0.1461,Lying
0.0171,0.0961,Standing
0.0171,0.1508,Standing
0.0552,0.2918,Feeding
0.0077,-0.0006,Lying
0.0121,-0.0908,Lying
0.0164,-0.1364,Lying
0.0166,-0.1773,Lying
0.0148,-0.1600,Lying
0.0121,-0.1482,Lying
0.0106,-0.2354,Lying
