acc_x,acc_y,acc_z,label
-0.8,0.2,0.2,feeding
-0.9,0.1,0.2,feeding
-0.9,0,0.3,feeding
-0.8,-0.1,0.4,feeding
-1.1,-0.2,0.5,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.3,feeding
-0.8,0.1,0.2,feeding
-0.8,0.1,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.8,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0.1,0.3,feeding
-0.9,0.1,0.3,feeding
-0.9,0,0.3,feeding
-0.9,0.1,0.3,feeding
-0.9,0.1,0.3,feeding
-0.9,0.1,0.3,feeding
-0.8,0.1,0.2,feeding
-0.9,0,0.2,feeding
-0.9,0,0.2,feeding
-0.9,0,0.2,feeding
-0.9,0,0.2,feeding
-0.9,0,0.2,feeding
-0.9,0,0.2,feeding
-0.9,0,0.2,feeding
-0.8,0.2,1.1,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,0,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,0,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,0,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,0,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
0,-1.9,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.7,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.2,0.5,feeding
-0.8,-0.1,0.5,feeding
-0.8,-0.1,0.5,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,-0.1,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.4,feeding
-0.8,0,0.3,feeding
-0.8,0,0.3,feeding
-0.9,0.1,0.3,feeding
